tag1,tag2,,body
Marriage,Dowry,,"Did anything surprise or challenge you about ancient conceptions of marriage and sexuality? Choose one or two to discuss.**The concept of reproduction being tied to inheritance is a challenge for me because there is always the possibility that one is unable to conceive.  In the Bible there were many women who had difficulty conceiving and they were looked down upon by the community.  It was almost the feeling of being shunned for something that was out of their control.  Many passages in the Bible outline the great desire of women praying for a child or their womb to be opened, so they could give their husbands an heir.  It is easy to see conception and reproduction are connected to inheritance and why it was so important to have children.  The agreement between the father of the bride and the groom is challenging to me because the bride has no say so  in the agreement formulated.  My daughter works with a young lady who was recently married in an arranged marriage to a man that's almost 40 years her senior.  Many might not think that this practice is active today, but it is very much still in existence for some cultures.  My daughter states that the young lady is so miserable and cried often at work.  I think that this practice then or now is so difficult to adjust to, but I believe it was for religious and cultural reasons.  As in Judaism, we are taught to marry another Jewish person in order to produce Jewish children, but the marriages are not arranged in the same standards as the discussion outlined.**"
Women,,,It's frustrating to me that Christianity seems to have been established and run by men - men who had control over women AND slaves. I often wonder what the story would have been through the eyes of women and slaves.   Or what would it have looked like if WOMEN were in charge or there was NO slavery?
Sex,Sin,,"I was surprised to find that traditionally sex itself was considered sinful by Christianity whereas it is a normal biological process and if God created man, and his biological cycles like, birth, death, hunger, thirst, defecation and sex. It signifies  man's beautiful emotions like love and is a step to procreation that is new life, so how can it be sinful?"
No topic,,,Is dont equilibre is the married is celebrated is men anf women and sexuslity is knowlefgebis married is the most importsnt of thr christisn.
Marriage,,,"I learned about the subordinate position of women in ancient society. As marriage was typically a financial agreement related to inheritance, I wonder how many marriages were loving experiences for the couple and how many were just tolerated. I learned that households contained several generations, plus the slaves.  I learned that ancient philosophers felt that sex should be based on reason and proper judgment rather than passion.  I learned that monogamous marriages for the purpose of  reproduction was permitted but virginal celibacy was considered a higher path."
Sex,,,"The paragraph that caught my attention was:""Second, sexual activity was conceived in large part as a (phallic) matter of active and passive partners: that is, of penetrating or being penetrated.  Under this conceptuality, what was crucial was that social hierarchies of inequality be reproduced: the active partner should always be of higher status than the passive partner.  Factors in determining status included not only whether one was male and female, but also age, class, slave or free, and ethnicity.  From this perspective everyone except elite males would therefore rank lower on a scale of masculinity.  Sex was considered to be €œnatural when these hierarchies were reproduced (and €œunnatural when they weren€™t)€”whether or not reproduction was possible.  Attitudes toward same-sex relations varied, but the arguments assumed the same way of thinking.""TO me this means that the sex act was always interpreted with one person as the dominant, one person with all the power - the elite male being on top, of course. My ideas about marriage and sexuality are so based on my situatedness that it is hard for me to understand or relate to other ways of thinking about marriage and sexuality.  I think that our culture (in the US) is still really struggling with how to deal with differences in sexuality."
Status,Marriage,,"The hierarchical nature of society resulted in an enormous disparity of opportunity for living a natural and self chosen life path. It cannot be justified in equitable terms. Yet, it still exists today as it did in Biblical times. Marriage and slavery reflected property rights and notions of human rights were light years away. This is incongruous with religious values of fairness, equal treatment and love.  "
Status,,,"The two issues did not really surprised me having studies theology for quite a time.  The readings though pointed out that the so-called Biblical view on sex, gender, marriage, and slavery--were products of reflections and theological constructions and reconstructions.  "
Sex,,,"It was interesting to see that the majority of issues surrounding sex really had nothing to do with sex, and much more to do with power and control.  It makes more sense that it would have been a contentious topic when viewed in that way."
Women,,,"These issues do seem confusing, especially given the conflicting scriptural stances on whether or not a person should marry. I know I am situated by being an American woman in the modern era, but it seems so unfair that women could not choose who to marry and were forced to be the ""passive"" person sexually. It is just so outside of the bounds of what I find morally acceptable that I have a hard time even dealing with it on its own terms. "
Slaves,,,"The place of slaves as sexual chattel makes sense in the context presented, but I had never considered it -- what a dehumanizing institution."
Marriage,,,"It's interesting to me since recently I have been looking to see what the biblical interpretation of sex in marriage was. Looking at the way it was interpreted in the past seems dark and obscure especially when you add slaves to the mix. I always felt that through Christianity especially being a Catholic that sex and marriage was something between a man a woman and God, being blessed through the Church. Anything out of that was sin. Also reading that the ultimate goal was to be a virgin was intriguing since the message has always been to procreate as much as you can within your marriage. "
Sex,Marriage,,"This is such a great perspective. I find it very interesting since I had married a non believer who passed from cancer a year into our marriage. I recently got remarried through the catholic church and having to show proof of my previous marriage and death certificate as well as testimony of us being free to marry. On it's own yes there are so many politics, include sex and it changes many things. There is a passage in the bible that states that when you have relations with another person your souls marry. This can be confusing especially when discussing marriage. How, when where? Do you need a ritual or do you marry once you have intercourse?"
Sex,,,"Nothing at all did surprise me. Christianity brought new moral issues: sex outside the marriage, the possibility of a way of life without sex, the monks of our days."
Sex,,,"I thought it was interesting that the issue of celibacy had a basis in pre-Christian philosophy concerning whether passion should ever come into a decision or action, but rather, only logic or rational thought.  It sure made life for everyone who was not a rich white male pretty unpleasant and certainly lacking in control."
Marriage,,,"Marriage like scriptures, has been embedded in culture for centuries.  Christ jesus, nor any of the apostles ever married.  Although the first miracle, turning water to wine, was recorded at a wedding.  But the will of the inner person I would agree allows us to choose the path in life that we would like to follow.  The family, culture, tradition, I would say would influence us to decide whether or not to get married.  "
